"alias","code"
"dog","\U0001f436"
"cat","\U0001f431"
"mouse","\U0001f42d"
"hamster","\U0001f439"
"rabbit","\U0001f430"
"fox","\U0001f98a"
"fox_face","\U0001f98a"
"bear","\U0001f43b"
"panda_face","\U0001f43c"
"polar_bear","\U0001f43b\u200d\u2744\ufe0f"
"koala","\U0001f428"
"tiger","\U0001f42f"
"lion","\U0001f981"
"lion_face","\U0001f981"
"cow","\U0001f42e"
"pig","\U0001f437"
"pig_nose","\U0001f43d"
"frog","\U0001f438"
"monkey_face","\U0001f435"
"see_no_evil","\U0001f648"
"hear_no_evil","\U0001f649"
"speak_no_evil","\U0001f64a"
"monkey","\U0001f412"
"chicken","\U0001f414"
"penguin","\U0001f427"
"bird","\U0001f426"
"baby_chick","\U0001f424"
"hatching_chick","\U0001f423"
"hatched_chick","\U0001f425"
"duck","\U0001f986"
"dodo","\U0001f9a4"
"eagle","\U0001f985"
"owl","\U0001f989"
"bat","\U0001f987"
"wolf","\U0001f43a"
"boar","\U0001f417"
"horse","\U0001f434"
"unicorn","\U0001f984"
"unicorn_face","\U0001f984"
"bee","\U0001f41d"
"bug","\U0001f41b"
"butterfly","\U0001f98b"
"snail","\U0001f40c"
"worm","\U0001fab1"
"lady_beetle","\U0001f41e"
"ant","\U0001f41c"
"fly","\U0001fab0"
"mosquito","\U0001f99f"
"cockroach","\U0001fab3"
"beetle","\U0001fab2"
"cricket","\U0001f997"
"spider","\U0001f577\ufe0f"
"spider_web","\U0001f578\ufe0f"
"scorpion","\U0001f982"
"turtle","\U0001f422"
"snake","\U0001f40d"
"lizard","\U0001f98e"
"t_rex","\U0001f996"
"sauropod","\U0001f995"
"octopus","\U0001f419"
"squid","\U0001f991"
"shrimp","\U0001f990"
"lobster","\U0001f99e"
"crab","\U0001f980"
"blowfish","\U0001f421"
"tropical_fish","\U0001f420"
"fish","\U0001f41f"
"seal","\U0001f9ad"
"dolphin","\U0001f42c"
"whale","\U0001f433"
"whale2","\U0001f40b"
"shark","\U0001f988"
"crocodile","\U0001f40a"
"tiger2","\U0001f405"
"leopard","\U0001f406"
"zebra","\U0001f993"
"gorilla","\U0001f98d"
"orangutan","\U0001f9a7"
"elephant","\U0001f418"
"mammoth","\U0001f9a3"
"bison","\U0001f9ac"
"hippopotamus","\U0001f99b"
"rhino","\U0001f98f"
"rhinoceros","\U0001f98f"
"dromedary_camel","\U0001f42a"
"camel","\U0001f42b"
"giraffe","\U0001f992"
"kangaroo","\U0001f998"
"water_buffalo","\U0001f403"
"ox","\U0001f402"
"cow2","\U0001f404"
"racehorse","\U0001f40e"
"pig2","\U0001f416"
"ram","\U0001f40f"
"sheep","\U0001f411"
"llama","\U0001f999"
"goat","\U0001f410"
"deer","\U0001f98c"
"dog2","\U0001f415"
"poodle","\U0001f429"
"guide_dog","\U0001f9ae"
"service_dog","\U0001f415\u200d\U0001f9ba"
"cat2","\U0001f408"
"black_cat","\U0001f408\u200d\u2b1b"
"rooster","\U0001f413"
"turkey","\U0001f983"
"peacock","\U0001f99a"
"parrot","\U0001f99c"
"swan","\U0001f9a2"
"flamingo","\U0001f9a9"
"dove","\U0001f54a\ufe0f"
"dove_of_peace","\U0001f54a\ufe0f"
"rabbit2","\U0001f407"
"raccoon","\U0001f99d"
"skunk","\U0001f9a8"
"badger","\U0001f9a1"
"beaver","\U0001f9ab"
"otter","\U0001f9a6"
"sloth","\U0001f9a5"
"mouse2","\U0001f401"
"rat","\U0001f400"
"chipmunk","\U0001f43f\ufe0f"
"hedgehog","\U0001f994"
"feet","\U0001f43e"
"paw_prints","\U0001f43e"
"dragon","\U0001f409"
"dragon_face","\U0001f432"
"cactus","\U0001f335"
"christmas_tree","\U0001f384"
"evergreen_tree","\U0001f332"
"deciduous_tree","\U0001f333"
"palm_tree","\U0001f334"
"seedling","\U0001f331"
"herb","\U0001f33f"
"shamrock","\u2618\ufe0f"
"four_leaf_clover","\U0001f340"
"bamboo","\U0001f38d"
"tanabata_tree","\U0001f38b"
"leaves","\U0001f343"
"fallen_leaf","\U0001f342"
"maple_leaf","\U0001f341"
"feather","\U0001fab6"
"mushroom","\U0001f344"
"shell","\U0001f41a"
"rock","\U0001faa8"
"wood","\U0001fab5"
"ear_of_rice","\U0001f33e"
"potted_plant","\U0001fab4"
"bouquet","\U0001f490"
"tulip","\U0001f337"
"rose","\U0001f339"
"wilted_rose","\U0001f940"
"wilted_flower","\U0001f940"
"hibiscus","\U0001f33a"
"cherry_blossom","\U0001f338"
"blossom","\U0001f33c"
"sunflower","\U0001f33b"
"sun_with_face","\U0001f31e"
"full_moon_with_face","\U0001f31d"
"first_quarter_moon_with_face","\U0001f31b"
"last_quarter_moon_with_face","\U0001f31c"
"new_moon_with_face","\U0001f31a"
"full_moon","\U0001f315"
"waning_gibbous_moon","\U0001f316"
"last_quarter_moon","\U0001f317"
"waning_crescent_moon","\U0001f318"
"new_moon","\U0001f311"
"waxing_crescent_moon","\U0001f312"
"first_quarter_moon","\U0001f313"
"waxing_gibbous_moon","\U0001f314"
"crescent_moon","\U0001f319"
"earth_americas","\U0001f30e"
"earth_africa","\U0001f30d"
"earth_asia","\U0001f30f"
"ringed_planet","\U0001fa90"
"dizzy","\U0001f4ab"
"star","\u2b50"
"star2","\U0001f31f"
"sparkles","\u2728"
"zap","\u26a1"
"comet","\u2604\ufe0f"
"boom","\U0001f4a5"
"fire","\U0001f525"
"flame","\U0001f525"
"cloud_tornado","\U0001f32a\ufe0f"
"cloud_with_tornado","\U0001f32a\ufe0f"
"rainbow","\U0001f308"
"sunny","\u2600\ufe0f"
"white_sun_small_cloud","\U0001f324\ufe0f"
"white_sun_with_small_cloud","\U0001f324\ufe0f"
"partly_sunny","\u26c5"
"white_sun_cloud","\U0001f325\ufe0f"
"white_sun_behind_cloud","\U0001f325\ufe0f"
"cloud","\u2601\ufe0f"
"white_sun_rain_cloud","\U0001f326\ufe0f"
"white_sun_behind_cloud_with_rain","\U0001f326\ufe0f"
"cloud_rain","\U0001f327\ufe0f"
"cloud_with_rain","\U0001f327\ufe0f"
"thunder_cloud_rain","\u26c8\ufe0f"
"thunder_cloud_and_rain","\u26c8\ufe0f"
"cloud_lightning","\U0001f329\ufe0f"
"cloud_with_lightning","\U0001f329\ufe0f"
"cloud_snow","\U0001f328\ufe0f"
"cloud_with_snow","\U0001f328\ufe0f"
"snowflake","\u2744\ufe0f"
"snowman2","\u2603\ufe0f"
"snowman","\u26c4"
"wind_blowing_face","\U0001f32c\ufe0f"
"dash","\U0001f4a8"
"droplet","\U0001f4a7"
"sweat_drops","\U0001f4a6"
"umbrella","\u2614"
"umbrella2","\u2602\ufe0f"
"ocean","\U0001f30a"
"fog","\U0001f32b\ufe0f"
